Organization Name,2019-20 Registration Form Completion Status,Number of Online Signatory Certification Completed (Need 4),Number of In-Person Orientation Attendees (Need 2) [Updated with attendance from 2/2/20],"""Eligibility Status for Spring 2020 Re-Registration 
(begins Jan. 6, 2020)""",Group's Registration Progress,Hyperlink to Org's Callink page,Group's LEAD Center Advisor
EGO (Cal's Traditional Korean Percussion Group),Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/egocalskoreantraditionaldrumminggroup,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Egyptian Student Association at Berkeley,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ESAB,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
El Club de Español,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/elclubdeespanol,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Elderly Escort at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/elderlyescort,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
ElectionLaw@Boalt,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/electionlawboalt,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
elecTONIC,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/elecTONIC,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Electrical Engineering and Computer Science Transfer Student Union,Not Started,0,0,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/EECSTSU,"LEAD Center Category: Health & Wellness - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Electrical Engineering Graduate Student Association,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EEGSA,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Electrochemical Association at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ecab,LEAD Center Category: Academic Organization - Advised by Deepak Sharma
"Electrochemical Society, Student Chapter of Berkeley",Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/electrochemicalsocietystudentchapteratberkeley,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Eleven: The Undergraduate Journal of Sociology,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eleventheundergraduatejournalofsociology,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Elohim Bible Study Club,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/elohimbiblestudyclub,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Eluci Foundation,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/eluci,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Embrace- The Berkeley Chapter,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/embrace,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Empathy FX International,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/empathyfx,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Employment and Life Skills Academic Competition,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/TheEmploymentandLifeSkillsAcademicCompetition,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Empowered at Berkeley,Not Started,0,0,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/empowered,LEAD Center Category: Cultural & Identity/Women Interest RSO - Advised by Alejandro Muro
EnableTech,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ET,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Enactus of Berkeley (formerly SIFE),Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/Enactus,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Endocrinology Graduate Student Group,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EndocrinologyGraduateStudentGroup,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
Energant,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/energant,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Energy and Resources Grad Students (ERGS),Approved,9,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ERGS,LEAD Center Category: Academic Student Orgs - Advised by Deepak Sharma
Energy and Resources Group Student Advocacy Committee for Equity and Inclusion,Approved,7,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ERGStudentAdvocacyCommitteeforEquityandInclusion,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
Energy Business Group,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/energybusinessgroup,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
"Energy, Civil Infrastructure, and Climate Group",Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/energycivilinfrastructureandclimategroup,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Engineering and Project Management Society,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/epms,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Engineering for Kids,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/E4K,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Engineering Solutions at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/engineeringsolutions,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Engineering Student Council,Approved,12,7,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EngineeringStudentCouncil,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
Engineering Wellness at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EWB,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Engineering World Health,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ewh,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Engineers and Mentors of Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/beam,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Engineers For A Sustainable World -Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/esw,LEAD Center Category: Environmental & Sustainability RSO -  Advised by Sharon Daraphonhdeth
Engineers in Action at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/engineersinaction,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Engineers Without Borders at Berkeley,Approved,7,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ewbucb,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
English Graduate Association,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/englishgraduateassociation,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
English Undergraduate Association,Denied,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/berkeleyeua,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
English: Literary Classics and Theory,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/englishliteraryclassicsandtheory,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Entomology Club,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/entomology,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
Entomology Students' Organization,Approved,5,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gaentomologystudentsorganization,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
Entrepreneurial Journalism Association,Not Started,4,0,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/entrepreneurialjournalism,Departmental Student Organizations
Entrepreneurial Toasmasters,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/entrepreneurialtoastmasters,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Entrepreneurs @ Berkeley,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EntrepreneurialSociety,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Environmental Clubs and Organizations,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/eco,LEAD Center Category: Environmental & Sustainability RSO -  Advised by Sharon Daraphonhdeth
Environmental Conservation Outreach,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/environmentalconservationoutreach,LEAD Center Category: Environmental & Sustainability RSO - Advised by Sharon Daraphonhdeth
Environmental Consulting Group,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ECG,LEAD Center Category: Environmental & Sustainability RSO -  Advised by Sharon Daraphonhdeth
Environmental Engineering Advocacy Team,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eeat,LEAD Center Category: Departmental Organization - Advised by Deepak Sharma
Environmental Health Sciences Graduate Students,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EHGS,LEAD Center Category: Environmental & Sustainability RSO - Advised by Sharon Daraphonhdeth
Environmental Justice Workshop,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/GAEJW,LEAD Center Category: Environmental & Sustainability RSO -  Advised by Sharon Daraphonhdeth
Environmental Law Society @ Berkeley Law (formerly Boalt Environmental Law Society),Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/environmentallawsociety,LEAD Center Category: Environmental & Sustainability RSO -  Advised by Sharon Daraphonhdeth
Environmental Sciences Student Association,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/essa,LEAD Center Category: Environmental & Sustainability RSO -  Advised by Sharon Daraphonhdeth
Environmental Team,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/enviro,LEAD Center Category: Environmental & Sustainability RSO -  Advised by Sharon Daraphonhdeth
ENvision at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ENvision,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
EOP Student Association,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/eopsa,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
Epic Movement at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/epic,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Epidemiology Graduate Student Association,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/epidemiologygraduatestudentassociation,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
Epsilon Eta,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/epsilon_eta,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Epsilon Pi at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/epsilonpi,LEAD Center Category: Academic RSO - Deepak Sharma
Equestrian Club,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/equestrianclub,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
ERG Online,Approved,7,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ergo,LEAD Center Category: Environmental & Sustainability RSO -  Advised by Sharon Daraphonhdeth
ERG Salsa Social,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ergsalsasocial,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Eritrean Student Association of Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/eritreanstudentassociation,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Es werde Licht: eine studentische Zeitung für Belletristik,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/eswerdelicht,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
